year,lgacode,age_range,indigenous_status,gender,number_of_people
2016,21450,0_4,indigenous,m,55
2016,21610,0_4,indigenous,m,77
2016,21670,0_4,indigenous,m,6
2016,21750,0_4,indigenous,m,13
2016,21830,0_4,indigenous,m,17
2016,21890,0_4,indigenous,m,58
2016,22110,0_4,indigenous,m,77
2016,22170,0_4,indigenous,m,76
2016,22250,0_4,indigenous,m,19
2016,22830,0_4,indigenous,m,133
2016,22910,0_4,indigenous,m,12
2016,22980,0_4,indigenous,m,0
2016,23110,0_4,indigenous,m,21
2016,23190,0_4,indigenous,m,26
2016,23270,0_4,indigenous,m,85
2016,23350,0_4,indigenous,m,11
2016,23430,0_4,indigenous,m,32
2016,23670,0_4,indigenous,m,22
2016,23810,0_4,indigenous,m,96
2016,23940,0_4,indigenous,m,3
2016,24130,0_4,indigenous,m,21
2016,24210,0_4,indigenous,m,14
2016,24250,0_4,indigenous,m,3
2016,24330,0_4,indigenous,m,10
2016,24410,0_4,indigenous,m,38
2016,24600,0_4,indigenous,m,14
2016,24650,0_4,indigenous,m,66
2016,24780,0_4,indigenous,m,137
2016,24850,0_4,indigenous,m,49
2016,24900,0_4,indigenous,m,29
2016,24970,0_4,indigenous,m,20
2016,17100,0_4,indigenous,m,3
2016,17150,0_4,indigenous,m,143
2016,17200,0_4,indigenous,m,84
2016,17310,0_4,indigenous,m,446
2016,17350,0_4,indigenous,m,3
2016,17400,0_4,indigenous,m,32
2016,22310,0_4,indigenous,m,5
2016,22410,0_4,indigenous,m,31
2016,22490,0_4,indigenous,m,6
2016,22620,0_4,indigenous,m,139
2016,22670,0_4,indigenous,m,30
2016,22750,0_4,indigenous,m,139
2016,25060,0_4,indigenous,m,14
2016,25150,0_4,indigenous,m,22
2016,25250,0_4,indigenous,m,33
2016,25340,0_4,indigenous,m,76
2016,25430,0_4,indigenous,m,7
